osquery> SELECT count(1) as num,filetype,path FROM process_memory_map where path != '' GROUP BY path ORDER BY num DESC;
+-----+----------+---------------------------------------------------------------------------------------------------------------------------------------------+
| num | filetype | path                                                                                                                                        |
| 60  | file     | C:\WINDOWS\SYSTEM32\TextInputFramework.dll                                                                                                  |
| 60  | file     | C:\WINDOWS\SYSTEM32\bcp47mrm.dll                                                                                                            |
| 60  | file     | C:\WINDOWS\System32\CRYPTSP.dll                                                                                                             |
| 60  | file     | C:\WINDOWS\system32\dwmapi.dll                                                                                                              |
| 60  | file     | C:\WINDOWS\system32\windowscodecs.dll                                                                                                       |
| 60  | file     | C:\Windows\System32\MrmCoreR.dll                                                                                                            |
| 60  | file     | C:\Windows\System32\OneCoreCommonProxyStub.dll                                                                                              |
| 60  | file     | C:\Windows\System32\UiaManager.dll                                                                                                          |
| 57  | file     | C:\WINDOWS\assembly\NativeImages_v4.0.30319_32\mscorlib\a5a47e8e5e2880adecca43eb928673f1\mscorlib.ni.dll                                    |
| 55  | file     | C:\WINDOWS\SYSTEM32\d2d1.dll                                                                                                                |
| 55  | file     | C:\WINDOWS\SYSTEM32\profext.dll                                                                                                             |
| 55  | file     | C:\WINDOWS\SYSTEM32\usermgrcli.dll                                                                                                          |
| 55  | file     | C:\WINDOWS\SYSTEM32\vm3dum64_loader.dll                                                                                                     |
| 54  | file     | C:\WINDOWS\SYSTEM32\msvcp110_win.dll                                                                                                        |
| 53  | file     | C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\Microsoft.Build\d3c7f614eb1831151d34b7ccf3cd94fe\Microsoft.Build.ni.dll                      |
| 51  | file     | C:\WINDOWS\SYSTEM32\edgehtml.dll                                                                                                            |
| 50  | file     | C:\WINDOWS\SYSTEM32\DNSAPI.dll                                                                                                              |
| 50  | file     | C:\WINDOWS\SYSTEM32\InputHost.dll                                                                                                           |
| 50  | file     | C:\WINDOWS\SYSTEM32\USERENV.dll                                                                                                             |
| 50  | file     | C:\WINDOWS\SYSTEM32\WINMMBASE.dll                                                                                                           |
| 50  | file     | C:\WINDOWS\SYSTEM32\dwrite.dll                                                                                                              |
| 50  | file     | C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\System\f8a7bdb37af85423bb9b5675d229f7f2\System.ni.dll                                        |
| 50  | file     | C:\WINDOWS\system32\execmodelproxy.dll                                                                                                      |
| 50  | file     | C:\Windows\System32\WinTypes.dll                                                                                                            |
| 50  | file     | C:\Windows\System32\Windows.Networking.Connectivity.dll                                                                                     |
| 50  | file     | C:\Windows\System32\threadpoolwinrt.dll                                                                                                     |
| 48  | file     | C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.2.2_2.2.27328.0_x64__8wekyb3d8bbwe\mrt100_app.dll                                 |
| 48  | file     | C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.44.40.0_x64__kzf8qxf38zg5c\SkypeApp.dll                                                  |
| 48  | file     | C:\WINDOWS\System32\MSWB7.dll                                                                                                               |
| 48  | file     | C:\Windows\System32\RuntimeBroker.exe                                                                                                       |
| 47  | file     | C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.17763.437_none_05b63dca071e5dd6\comctl32.dll                 |
| 47  | file     | C:\Windows\System32\Windows.UI.Immersive.dll                                                                                                |
| 45  | file     | C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.27323.0_x64__8wekyb3d8bbwe\vccorlib140_app.DLL                                    |
| 45  | file     | C:\WINDOWS\SYSTEM32\NTASN1.dll                                                                                                              |
| 45  | file     | C:\WINDOWS\SYSTEM32\RMCLIENT.dll                                                                                                            |
| 45  | file     | C:\WINDOWS\SYSTEM32\ncrypt.dll                                                                                                              |
| 45  | file     | C:\Windows\System32\IPHLPAPI.DLL                                                                                                            |
| 45  | file     | C:\Windows\System32\Windows.Globalization.dll                                                                                               |
| 45  | file     | C:\Windows\System32\Windows.StateRepositoryPS.dll                                                                                           |
| 45  | file     | C:\Windows\System32\Windows.Storage.ApplicationData.dll                                                                                     |
| 44  | file     | C:\WINDOWS\SYSTEM32\chakra.dll                                                                                                              |
| 42  | file     | C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.2.2_2.2.27405.0_x64__8wekyb3d8bbwe\SharedLibrary.dll                            |
| 42  | file     | C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.27323.0_x64__8wekyb3d8bbwe\MSVCP140_APP.dll                                       |
| 42  | file     | C:\WINDOWS\SYSTEM32\WININET.dll                                                                                                             |
| 42  | file     | C:\WINDOWS\SYSTEM32\Windows.UI.Xaml.Controls.dll                                                                                            |
| 42  | file     | C:\WINDOWS\SYSTEM32\wuceffects.dll                                                                                                          |
| 42  | file     | C:\WINDOWS\system32\ncryptsslp.dll                                                                                                          |
| 40  | file     | C:\WINDOWS\SYSTEM32\WINNSI.DLL                                                                                                              |
| 40  | file     | C:\WINDOWS\SYSTEM32\languageoverlayutil.dll                                                                                                 |
| 40  | file     | C:\WINDOWS\SYSTEM32\rometadata.dll                                                                                                          |
| 40  | file     | C:\WINDOWS\SYSTEM32\windows.ui.core.textinput.dll                                                                                           |
| 40  | file     | C:\WINDOWS\System32\coml2.dll                                                                                                               |
| 40  | file     | C:\WINDOWS\system32\mswsock.dll                                                                                                             |
| 40  | file     | C:\Windows\System32\CoreMessaging.dll                                                                                                       |
| 40  | file     | C:\Windows\System32\Windows.Graphics.dll                                                                                                    |
| 40  | file     | C:\Windows\System32\Windows.Shell.ServiceHostBuilder.dll                                                                                    |
| 40  | file     | C:\Windows\System32\certenroll.dll                                                                                                          |
| 37  | file     | C:\WINDOWS\assembly\NativeImages_v4.0.30319_32\System\2fb412bd4cb1d503da1dc52104e9b1a4\System.ni.dll                                        |
| 36  | file     | C:\WINDOWS\SYSTEM32\mrmcorer.dll                                                                                                            |
| 36  | file     | C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\System.Core\b49ad0090c8a327519ec8b1d8086028f\System.Core.ni.dll                              |
| 35  | file     | C:\WINDOWS\SYSTEM32\dhcpcsvc.DLL                                                                                                            |
