osquery> SELECT count(1) as num,path FROM process_memory_map GROUP BY path ORDER BY num DESC, path ASC;
+------+-------------------------------------------------------------------------------------+
| num  | path                                                                                |
| 68   | /usr/lib/gnome-settings-daemon-3.0/libgsd.so                                        |
| 68   | /usr/lib/x86_64-linux-gnu/libltdl.so.7.3.1                                          |
| 68   | /usr/lib/x86_64-linux-gnu/libogg.so.0.8.2                                           |
| 68   | /usr/lib/x86_64-linux-gnu/libvorbis.so.0.4.8                                        |
| 65   | [heap]                                                                              |
| 64   | /lib/x86_64-linux-gnu/libgcc_s.so.1                                                 |
| 64   | /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25                                       |
| 64   | /usr/lib/x86_64-linux-gnu/libtdb.so.1.3.15                                          |
| 64   | [stack]                                                                             |
| 64   | [vdso]                                                                              |
| 64   | [vsyscall]                                                                          |
| 64   | [vvar]                                                                              |
| 60   | /lib/x86_64-linux-gnu/libcom_err.so.2.1                                             |
| 60   | /lib/x86_64-linux-gnu/libkeyutils.so.1.5                                            |
| 60   | /usr/lib/x86_64-linux-gnu/gtk-3.0/modules/libcanberra-gtk3-module.so                |
| 60   | /usr/lib/x86_64-linux-gnu/libcanberra-gtk3.so.0.1.9                                 |
| 60   | /usr/lib/x86_64-linux-gnu/libcanberra.so.0.2.5                                      |
| 60   | /usr/lib/x86_64-linux-gnu/libicudata.so.60.2                                        |
| 60   | /usr/lib/x86_64-linux-gnu/libicuuc.so.60.2                                          |
| 60   | /usr/lib/x86_64-linux-gnu/libk5crypto.so.3.1                                        |
| 60   | /usr/lib/x86_64-linux-gnu/libkrb5.so.3.3                                            |
| 60   | /usr/lib/x86_64-linux-gnu/libkrb5support.so.0.1                                     |
| 60   | /usr/lib/x86_64-linux-gnu/libsecret-1.so.0.0.0                                      |
| 60   | /usr/lib/x86_64-linux-gnu/libtasn1.so.6.5.5                                         |
| 60   | /usr/lib/x86_64-linux-gnu/libvorbisfile.so.3.3.7                                    |
| 56   | /usr/lib/x86_64-linux-gnu/libgck-1.so.0.0.0                                         |
| 56   | /usr/lib/x86_64-linux-gnu/libgcr-base-3.so.1.0.0                                    |
| 56   | /usr/lib/x86_64-linux-gnu/libgssapi_krb5.so.2.2                                     |
| 56   | /usr/lib/x86_64-linux-gnu/libnettle.so.6.4                                          |
| 56   | /usr/lib/x86_64-linux-gnu/libunistring.so.2.1.0                                     |
| 56   | /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.4                                          |
| 53   | /usr/lib/locale/locale-archive                                                      |
| 52   | /usr/lib/x86_64-linux-gnu/libgmp.so.10.3.2                                          |
| 52   | /usr/lib/x86_64-linux-gnu/libgnutls.so.30.14.10                                     |
| 52   | /usr/lib/x86_64-linux-gnu/libgudev-1.0.so.0.2.0                                     |
| 52   | /usr/lib/x86_64-linux-gnu/libhogweed.so.4.4                                         |
| 52   | /usr/lib/x86_64-linux-gnu/libidn2.so.0.3.3                                          |
| 52   | /usr/lib/x86_64-linux-gnu/libjson-glib-1.0.so.0.400.2                               |
| 52   | /usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6                                       |
| 48   | /usr/lib/x86_64-linux-gnu/libsoup-2.4.so.1.8.0                                      |
| 44   | /usr/lib/x86_64-linux-gnu/libicui18n.so.60.2                                        |
| 44   | /usr/lib/x86_64-linux-gnu/libnotify.so.4.0.0                                        |
| 40   | /usr/lib/x86_64-linux-gnu/libgoa-1.0.so.0.0.0                                       |
| 40   | /usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.517                                    |
| 36   | /lib/x86_64-linux-gnu/libcrypt-2.27.so                                              |
| 32   | /lib/x86_64-linux-gnu/libseccomp.so.2.3.1                                           |
| 32   | /usr/lib/x86_64-linux-gnu/libnspr4.so                                               |
| 32   | /usr/lib/x86_64-linux-gnu/libnss3.so                                                |
| 32   | /usr/lib/x86_64-linux-gnu/libnssutil3.so                                            |
| 32   | /usr/lib/x86_64-linux-gnu/libplc4.so                                                |
| 32   | /usr/lib/x86_64-linux-gnu/libplds4.so                                               |
| 30   | /home/devo/.config/dconf/user                                                       |
| 30   | /run/user/1000/dconf/user                                                           |
| 29   | /usr/share/glib-2.0/schemas/gschemas.compiled                                       |
| 28   | /usr/lib/x86_64-linux-gnu/libasn1.so.8.0.0                                          |
| 28   | /usr/lib/x86_64-linux-gnu/libcurl-gnutls.so.4.5.0                                   |
| 28   | /usr/lib/x86_64-linux-gnu/libgnome-desktop-3.so.17.0.0                              |
| 28   | /usr/lib/x86_64-linux-gnu/libgssapi.so.3.0.0                                        |
| 28   | /usr/lib/x86_64-linux-gnu/libhcrypto.so.4.1.0                                       |
| 28   | /usr/lib/x86_64-linux-gnu/libheimbase.so.1.0.0                                      |
| 28   | /usr/lib/x86_64-linux-gnu/libheimntlm.so.0.1.0                                      |
| 28   | /usr/lib/x86_64-linux-gnu/libhx509.so.5.0.0                                         |
| 28   | /usr/lib/x86_64-linux-gnu/libkrb5.so.26.0.0                                         |
| 28   | /usr/lib/x86_64-linux-gnu/liblber-2.4.so.2.10.8                                     |
| 28   | /usr/lib/x86_64-linux-gnu/libldap_r-2.4.so.2.10.8                                   |
| 28   | /usr/lib/x86_64-linux-gnu/libnghttp2.so.14.15.2                                     |
| 28   | /usr/lib/x86_64-linux-gnu/liboauth.so.0.8.7                                         |
| 28   | /usr/lib/x86_64-linux-gnu/libpsl.so.5.2.0                                           |
| 28   | /usr/lib/x86_64-linux-gnu/libroken.so.18.1.0                                        |
| 28   | /usr/lib/x86_64-linux-gnu/librtmp.so.1                                              |
| 28   | /usr/lib/x86_64-linux-gnu/libsasl2.so.2.0.25                                        |
| 28   | /usr/lib/x86_64-linux-gnu/libwind.so.0.0.0                                          |
| 25   | /memfd:pulseaudio                                                                   |
| 24   | /usr/lib/evolution-data-server/camel-providers/libcamelimapx.so                     |
| 24   | /usr/lib/evolution-data-server/camel-providers/libcamellocal.so                     |
